City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
82,Pingliang,CN,2021-12-21 17:12:05,clear sky,35.5392,106.6861,35.17,32,0,6.26
83,Kabanjahe,ID,2021-12-21 17:12:06,overcast clouds,3.1001,98.4908,61.56,97,100,2.84
84,Yaan,NG,2021-12-21 17:12:06,broken clouds,7.3833,8.5667,89.83,17,56,6.31
85,Bethel,US,2021-12-21 17:12:06,clear sky,41.3712,-73.414,40.37,60,1,4.61
86,Kirgiz-Miyaki,RU,2021-12-21 17:12:07,overcast clouds,53.6324,54.7979,26.49,98,100,6.06
87,Broken Hill,AU,2021-12-21 17:10:05,scattered clouds,-31.95,141.4333,74.19,32,27,15.19
88,Saint George,US,2021-12-21 17:10:13,clear sky,37.1041,-113.5841,55.35,70,1,0.0
89,Salalah,OM,2021-12-21 17:12:08,clear sky,17.0151,54.0924,77.09,69,0,2.3
90,Faanui,PF,2021-12-21 17:12:08,overcast clouds,-16.4833,-151.75,78.57,79,95,11.32
91,Itarema,BR,2021-12-21 17:13:09,broken clouds,-2.9248,-39.9167,87.57,57,57,15.03
92,Yellowknife,CA,2021-12-21 17:13:09,broken clouds,62.456,-114.3525,-24.27,100,82,3.0
93,Kapoeta,SS,2021-12-21 17:13:10,broken clouds,4.7717,33.5903,85.39,41,84,7.16
94,Shenjiamen,CN,2021-12-21 17:13:10,scattered clouds,29.9576,122.298,53.35,65,41,7.36
95,Sydney,AU,2021-12-21 17:11:04,broken clouds,-33.8679,151.2073,72.72,86,75,17.27
96,Khandbari,NP,2021-12-21 17:13:10,few clouds,27.3747,87.2039,49.8,66,19,3.89
97,Saint Anthony,US,2021-12-21 17:13:11,light snow,45.0205,-93.218,19.26,81,90,3.0
98,Kirakira,SB,2021-12-21 17:08:54,overcast clouds,-10.4544,161.9205,79.59,84,97,0.89
99,Punta Arenas,CL,2021-12-21 17:04:01,scattered clouds,-53.15,-70.9167,60.91,55,40,41.43
100,Longyearbyen,SJ,2021-12-21 17:10:01,broken clouds,78.2186,15.6401,15.64,86,75,10.36
101,Agirish,RU,2021-12-21 17:13:12,overcast clouds,61.9247,63.0231,-2.7,99,99,4.97
102,Tasiilaq,GL,2021-12-21 17:10:14,overcast clouds,65.6145,-37.6368,32.16,61,100,8.88
103,Yanam,IN,2021-12-21 17:13:12,clear sky,16.7333,82.2167,72.0,82,7,1.66
104,Djibo,BF,2021-12-21 17:13:12,clear sky,14.1022,-1.6306,83.23,11,4,12.64
105,Port Elizabeth,ZA,2021-12-21 17:08:55,clear sky,-33.918,25.5701,79.11,88,0,17.27
106,Marsa Matruh,EG,2021-12-21 17:13:13,clear sky,31.3525,27.2453,59.83,67,2,13.6
107,Da Nang,VN,2021-12-21 17:13:13,broken clouds,16.0678,108.2208,69.78,83,75,3.44
108,Hervey Bay,AU,2021-12-21 17:10:54,light rain,-25.2986,152.8535,71.04,83,3,3.02
109,Port Lincoln,AU,2021-12-21 17:13:14,scattered clouds,-34.7333,135.8667,59.34,82,34,9.8
110,Constitucion,CL,2021-12-21 17:13:14,clear sky,-35.3333,-72.4167,72.25,51,2,16.26
111,Esperance,AU,2021-12-21 17:13:14,overcast clouds,-33.8667,121.9,62.67,83,99,10.89
112,Caravelas,BR,2021-12-21 17:13:15,broken clouds,-17.7125,-39.2481,78.8,81,56,4.38
113,Fukue,JP,2021-12-21 17:13:15,clear sky,32.6881,128.8419,57.07,56,1,10.69
114,West Plains,US,2021-12-21 17:13:15,clear sky,36.7281,-91.8524,46.62,67,1,3.0
115,Diapaga,BF,2021-12-21 17:13:16,clear sky,12.0708,1.7889,86.13,15,2,9.42
116,Chumikan,RU,2021-12-21 17:13:16,overcast clouds,54.7183,135.315,-26.37,83,89,8.34
117,East London,ZA,2021-12-21 17:10:10,broken clouds,-33.0153,27.9116,72.77,85,53,19.26
118,Georgetown,MY,2021-12-21 17:13:17,few clouds,5.4112,100.3354,78.73,94,20,0.0
119,Hermanus,ZA,2021-12-21 17:08:57,clear sky,-34.4187,19.2345,74.8,63,0,15.95
120,Ishigaki,JP,2021-12-21 17:13:17,light rain,24.3448,124.1572,74.25,88,100,28.34
121,Laguna,US,2021-12-21 17:13:18,mist,38.421,-121.4238,47.25,91,90,1.99
122,Waipawa,NZ,2021-12-21 17:13:18,clear sky,-41.4122,175.5153,59.63,71,0,14.88
123,Malindi,KE,2021-12-21 17:13:19,overcast clouds,-3.2175,40.1191,81.19,80,92,7.54
124,Naze,JP,2021-12-21 17:13:19,light rain,28.3667,129.4833,56.25,88,100,1.63
125,Sao Raimundo Das Mangabeiras,BR,2021-12-21 17:13:19,overcast clouds,-7.0219,-45.4811,84.49,71,100,2.57
126,Dali,CN,2021-12-21 17:13:20,clear sky,25.7,100.1833,42.13,65,0,3.15
127,Vetluzhskiy,RU,2021-12-21 17:13:20,overcast clouds,58.3902,45.4654,-6.32,98,95,4.72
128,Khatanga,RU,2021-12-21 17:08:52,overcast clouds,71.9667,102.5,-22.92,99,98,7.65
129,Srednekolymsk,RU,2021-12-21 17:13:21,overcast clouds,67.45,153.6833,-17.55,94,100,8.95
130,Kruisfontein,ZA,2021-12-21 17:13:21,clear sky,-34.0033,24.7314,76.89,72,4,10.45
131,Norman Wells,CA,2021-12-21 17:10:07,overcast clouds,65.282,-126.8329,13.33,93,99,9.1
132,Port Blair,IN,2021-12-21 17:13:22,broken clouds,11.6667,92.75,77.2,78,61,3.89
133,Kijang,KR,2021-12-21 17:13:22,clear sky,35.2442,129.2139,46.33,57,0,5.14
134,Cayhagan,PH,2021-12-21 17:13:22,overcast clouds,9.6697,122.4256,77.16,84,100,6.13
135,Cockburn Town,TC,2021-12-21 17:08:31,scattered clouds,21.4612,-71.1419,82.36,57,40,11.5
136,Bubaque,GW,2021-12-21 17:14:23,broken clouds,11.2833,-15.8333,82.4,53,59,9.53
137,Talnakh,RU,2021-12-21 17:14:24,broken clouds,69.4865,88.3972,-24.48,88,83,8.97
138,Belozerskoye,RU,2021-12-21 17:14:24,overcast clouds,55.8214,65.5842,28.98,87,100,15.48
139,Hithadhoo,MV,2021-12-21 17:14:24,clear sky,-0.6,73.0833,82.08,72,9,0.58
140,San Patricio,US,2021-12-21 17:10:05,clear sky,28.017,-97.5169,61.84,54,0,4.09
141,Labuan,MY,2021-12-21 17:14:25,overcast clouds,5.2767,115.2417,78.96,76,85,2.46
142,Vestmannaeyjar,IS,2021-12-21 17:14:26,overcast clouds,63.4427,-20.2734,40.19,93,90,20.71
143,Nelson Bay,AU,2021-12-21 17:14:26,overcast clouds,-32.7167,152.15,76.1,95,99,1.01
